0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,language
w,h,e,r,e,o,f,.,.,.,.,.,.,.,.,.,english
i,n,d,i,e,s,.,.,.,.,.,.,.,.,.,.,english
n,o,v,e,l,s,.,.,.,.,.,.,.,.,.,.,english
l,e,a,g,u,e,.,.,.,.,.,.,.,.,.,.,english
f,a,i,l,i,n,g,.,.,.,.,.,.,.,.,.,english
s,u,c,c,e,e,d,i,n,g,.,.,.,.,.,.,english
s,a,n,t,a,.,.,.,.,.,.,.,.,.,.,.,english
a,p,p,r,o,v,e,.,.,.,.,.,.,.,.,.,english
c,a,u,t,i,o,u,s,l,y,.,.,.,.,.,.,english
m,i,l,l,e,r,.,.,.,.,.,.,.,.,.,.,english
a,f,f,l,i,c,t,e,d,.,.,.,.,.,.,.,english
l,o,d,g,i,n,g,s,.,.,.,.,.,.,.,.,english
p,e,t,i,t,i,o,n,.,.,.,.,.,.,.,.,english
t,r,a,f,f,i,c,.,.,.,.,.,.,.,.,.,english
s,p,a,r,k,l,i,n,g,.,.,.,.,.,.,.,english
l,i,m,b,.,.,.,.,.,.,.,.,.,.,.,.,english
a,r,c,h,i,t,e,c,t,u,r,e,.,.,.,.,english
d,i,s,p,o,s,a,l,.,.,.,.,.,.,.,.,english
c,a,r,r,i,a,g,e,s,.,.,.,.,.,.,.,english
c,r,a,c,k,.,.,.,.,.,.,.,.,.,.,.,english
k,i,n,d,r,e,d,.,.,.,.,.,.,.,.,.,english
n,a,u,g,h,t,.,.,.,.,.,.,.,.,.,.,english
o,r,n,a,m,e,n,t,.,.,.,.,.,.,.,.,english
s,l,e,w,.,.,.,.,.,.,.,.,.,.,.,.,english
s,t,e,w,a,r,d,.,.,.,.,.,.,.,.,.,english
f,a,n,t,a,s,t,i,c,.,.,.,.,.,.,.,english
e,v,o,l,u,t,i,o,n,.,.,.,.,.,.,.,english
p,a,t,i,e,n,t,l,y,.,.,.,.,.,.,.,english
r,e,v,e,r,s,e,.,.,.,.,.,.,.,.,.,english
s,u,r,v,e,y,.,.,.,.,.,.,.,.,.,.,english
d,u,g,.,.,.,.,.,.,.,.,.,.,.,.,.,english
a,m,u,s,e,.,.,.,.,.,.,.,.,.,.,.,english
s,t,r,e,t,c,h,i,n,g,.,.,.,.,.,.,english
i,s,a,a,c,.,.,.,.,.,.,.,.,.,.,.,english
f,o,r,t,h,w,i,t,h,.,.,.,.,.,.,.,english
c,o,n,t,e,m,p,o,r,a,r,y,.,.,.,.,english
f,o,l,i,a,g,e,.,.,.,.,.,.,.,.,.,english
r,e,c,e,i,v,e,s,.,.,.,.,.,.,.,.,english
s,c,a,n,d,a,l,.,.,.,.,.,.,.,.,.,english
d,o,n,o,r,s,.,.,.,.,.,.,.,.,.,.,english
d,e,l,i,b,e,r,a,t,e,.,.,.,.,.,.,english
i,n,f,l,u,e,n,c,e,d,.,.,.,.,.,.,english
i,n,t,o,l,e,r,a,b,l,e,.,.,.,.,.,english
h,e,a,r,t,h,.,.,.,.,.,.,.,.,.,.,english
s,y,m,b,o,l,.,.,.,.,.,.,.,.,.,.,english
g,o,v,e,r,n,m,e,n,t,s,.,.,.,.,.,english
r,e,p,a,i,r,e,d,.,.,.,.,.,.,.,.,english
p,l,e,a,s,a,n,t,l,y,.,.,.,.,.,.,english
h,o,m,a,g,e,.,.,.,.,.,.,.,.,.,.,english
v,i,c,t,o,r,i,o,u,s,.,.,.,.,.,.,english
c,o,l,u,m,b,u,s,.,.,.,.,.,.,.,.,english
r,e,c,o,v,e,r,y,.,.,.,.,.,.,.,.,english
d,e,f,i,n,e,d,.,.,.,.,.,.,.,.,.,english
a,t,t,e,n,d,a,n,t,s,.,.,.,.,.,.,english
m,o,d,e,s,t,y,.,.,.,.,.,.,.,.,.,english
d,i,a,n,a,.,.,.,.,.,.,.,.,.,.,.,english
w,a,s,h,i,n,g,.,.,.,.,.,.,.,.,.,english
p,a,v,e,m,e,n,t,.,.,.,.,.,.,.,.,english
u,n,n,a,t,u,r,a,l,.,.,.,.,.,.,.,english
d,e,c,i,s,i,v,e,.,.,.,.,.,.,.,.,english
w,i,s,e,l,y,.,.,.,.,.,.,.,.,.,.,english
p,r,e,c,i,s,e,.,.,.,.,.,.,.,.,.,english
n,e,g,a,t,i,v,e,.,.,.,.,.,.,.,.,english
o,c,c,u,r,r,e,n,c,e,.,.,.,.,.,.,english
s,n,a,t,c,h,e,d,.,.,.,.,.,.,.,.,english
s,h,a,f,t,.,.,.,.,.,.,.,.,.,.,.,english
l,i,n,k,e,d,.,.,.,.,.,.,.,.,.,.,english
f,e,s,t,i,v,a,l,.,.,.,.,.,.,.,.,english
e,x,c,l,u,s,i,v,e,l,y,.,.,.,.,.,english
j,o,v,e,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,c,k,e,d,n,e,s,s,.,.,.,.,.,.,english
v,i,s,i,o,n,s,.,.,.,.,.,.,.,.,.,english
m,a,g,g,i,e,.,.,.,.,.,.,.,.,.,.,english
r,o,s,y,.,.,.,.,.,.,.,.,.,.,.,.,english
c,a,r,e,l,e,s,s,l,y,.,.,.,.,.,.,english
s,t,e,m,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,r,p,o,r,a,t,i,o,n,.,.,.,.,.,english
d,e,c,.,.,.,.,.,.,.,.,.,.,.,.,.,english
f,e,e,d,i,n,g,.,.,.,.,.,.,.,.,.,english
a,l,l,e,n,.,.,.,.,.,.,.,.,.,.,.,english
c,o,w,s,.,.,.,.,.,.,.,.,.,.,.,.,english
s,c,h,e,m,e,s,.,.,.,.,.,.,.,.,.,english
p,r,e,f,e,r,e,n,c,e,.,.,.,.,.,.,english
u,r,g,e,.,.,.,.,.,.,.,.,.,.,.,.,english
h,u,s,b,a,n,d,s,.,.,.,.,.,.,.,.,english
l,a,b,o,u,r,s,.,.,.,.,.,.,.,.,.,english
s,h,r,i,l,l,.,.,.,.,.,.,.,.,.,.,english
e,x,e,r,c,i,s,e,s,.,.,.,.,.,.,.,english
s,o,v,e,r,e,i,g,n,t,y,.,.,.,.,.,english
r,e,d,u,c,e,.,.,.,.,.,.,.,.,.,.,english
d,i,s,t,r,e,s,s,e,d,.,.,.,.,.,.,english
c,l,e,a,r,i,n,g,.,.,.,.,.,.,.,.,english
r,e,m,o,v,a,l,.,.,.,.,.,.,.,.,.,english
d,e,a,n,.,.,.,.,.,.,.,.,.,.,.,.,english
s,c,o,t,t,i,s,h,.,.,.,.,.,.,.,.,english
a,s,s,e,r,t,i,o,n,.,.,.,.,.,.,.,english
a,c,c,e,s,s,i,b,l,e,.,.,.,.,.,.,english
c,o,m,e,d,y,.,.,.,.,.,.,.,.,.,.,english
f,l,u,s,h,.,.,.,.,.,.,.,.,.,.,.,english
c,o,d,e,.,.,.,.,.,.,.,.,.,.,.,.,english
p,h,i,l,o,s,o,p,h,e,r,s,.,.,.,.,english
a,d,e,q,u,a,t,e,.,.,.,.,.,.,.,.,english
v,a,g,u,e,l,y,.,.,.,.,.,.,.,.,.,english
t,r,e,a,s,o,n,.,.,.,.,.,.,.,.,.,english
h,u,n,t,e,r,.,.,.,.,.,.,.,.,.,.,english
c,h,a,m,b,e,r,s,.,.,.,.,.,.,.,.,english
s,p,l,i,t,.,.,.,.,.,.,.,.,.,.,.,english
y,i,e,l,d,i,n,g,.,.,.,.,.,.,.,.,english
n,e,w,s,l,e,t,t,e,r,.,.,.,.,.,.,english
s,n,a,k,e,.,.,.,.,.,.,.,.,.,.,.,english
h,i,s,t,o,r,i,a,n,.,.,.,.,.,.,.,english
a,s,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
i,n,t,e,n,s,i,t,y,.,.,.,.,.,.,.,english
d,e,m,o,c,r,a,c,y,.,.,.,.,.,.,.,english
b,a,t,t,e,r,y,.,.,.,.,.,.,.,.,.,english
d,r,a,w,s,.,.,.,.,.,.,.,.,.,.,.,english
n,e,t,h,e,r,l,a,n,d,s,.,.,.,.,.,english
c,r,e,e,d,.,.,.,.,.,.,.,.,.,.,.,english
l,i,k,i,n,g,.,.,.,.,.,.,.,.,.,.,english
l,u,k,e,.,.,.,.,.,.,.,.,.,.,.,.,english
t,y,r,a,n,t,.,.,.,.,.,.,.,.,.,.,english
s,t,r,o,v,e,.,.,.,.,.,.,.,.,.,.,english
a,t,t,r,a,c,t,i,o,n,.,.,.,.,.,.,english
s,l,a,u,g,h,t,e,r,.,.,.,.,.,.,.,english
d,i,s,m,a,l,.,.,.,.,.,.,.,.,.,.,english
d,e,p,o,s,i,t,e,d,.,.,.,.,.,.,.,english
a,s,s,e,n,t,.,.,.,.,.,.,.,.,.,.,english
c,u,p,s,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,n,c,e,r,t,.,.,.,.,.,.,.,.,.,english
d,o,w,n,w,a,r,d,.,.,.,.,.,.,.,.,english
c,a,n,a,l,.,.,.,.,.,.,.,.,.,.,.,english
e,v,e,n,i,n,g,s,.,.,.,.,.,.,.,.,english
w,a,x,.,.,.,.,.,.,.,.,.,.,.,.,.,english
d,e,t,e,c,t,i,v,e,.,.,.,.,.,.,.,english
f,a,n,c,i,e,s,.,.,.,.,.,.,.,.,.,english
s,p,o,i,l,e,d,.,.,.,.,.,.,.,.,.,english
r,e,v,o,l,v,e,r,.,.,.,.,.,.,.,.,english
m,u,r,r,a,y,.,.,.,.,.,.,.,.,.,.,english
e,a,r,n,e,d,.,.,.,.,.,.,.,.,.,.,english
a,n,a,l,y,s,i,s,.,.,.,.,.,.,.,.,english
f,i,n,e,r,.,.,.,.,.,.,.,.,.,.,.,english
p,a,c,e,s,.,.,.,.,.,.,.,.,.,.,.,english
r,o,a,r,i,n,g,.,.,.,.,.,.,.,.,.,english
p,r,o,m,p,t,.,.,.,.,.,.,.,.,.,.,english
p,a,p,e,r,w,o,r,k,.,.,.,.,.,.,.,english
w,h,e,r,e,f,o,r,e,.,.,.,.,.,.,.,english
e,m,p,h,a,s,i,s,.,.,.,.,.,.,.,.,english
s,h,a,r,i,n,g,.,.,.,.,.,.,.,.,.,english
d,e,l,a,y,e,d,.,.,.,.,.,.,.,.,.,english
i,n,h,e,r,i,t,e,d,.,.,.,.,.,.,.,english
b,r,o,n,z,e,.,.,.,.,.,.,.,.,.,.,english
w,a,k,i,n,g,.,.,.,.,.,.,.,.,.,.,english
g,a,r,m,e,n,t,.,.,.,.,.,.,.,.,.,english
r,e,d,i,s,t,r,i,b,u,t,i,n,g,.,.,english
w,h,o,l,e,s,o,m,e,.,.,.,.,.,.,.,english
r,e,m,o,r,s,e,.,.,.,.,.,.,.,.,.,english
p,l,a,t,o,.,.,.,.,.,.,.,.,.,.,.,english
m,o,r,r,i,s,.,.,.,.,.,.,.,.,.,.,english
s,t,o,o,p,e,d,.,.,.,.,.,.,.,.,.,english
d,e,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,o,n,k,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,r,i,l,l,.,.,.,.,.,.,.,.,.,.,english
h,u,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
e,x,c,l,u,s,i,v,e,.,.,.,.,.,.,.,english
f,u,n,d,s,.,.,.,.,.,.,.,.,.,.,.,english
p,o,r,t,e,r,.,.,.,.,.,.,.,.,.,.,english
u,n,c,o,m,m,o,n,.,.,.,.,.,.,.,.,english
d,a,s,h,.,.,.,.,.,.,.,.,.,.,.,.,english
s,t,r,a,i,n,e,d,.,.,.,.,.,.,.,.,english
c,o,n,f,o,u,n,d,e,d,.,.,.,.,.,.,english
s,w,i,m,.,.,.,.,.,.,.,.,.,.,.,.,english
s,t,r,i,p,.,.,.,.,.,.,.,.,.,.,.,english
u,l,t,i,m,a,t,e,l,y,.,.,.,.,.,.,english
t,e,a,m,.,.,.,.,.,.,.,.,.,.,.,.,english
m,i,s,s,i,o,n,a,r,y,.,.,.,.,.,.,english
e,s,t,e,e,m,e,d,.,.,.,.,.,.,.,.,english
t,r,a,c,k,s,.,.,.,.,.,.,.,.,.,.,english
e,n,v,e,l,o,p,e,.,.,.,.,.,.,.,.,english
w,h,o,e,v,e,r,.,.,.,.,.,.,.,.,.,english
e,x,p,e,n,s,i,v,e,.,.,.,.,.,.,.,english
h,e,a,d,q,u,a,r,t,e,r,s,.,.,.,.,english
c,h,e,r,i,s,h,e,d,.,.,.,.,.,.,.,english
b,r,a,n,d,y,.,.,.,.,.,.,.,.,.,.,english
s,t,a,r,t,l,i,n,g,.,.,.,.,.,.,.,english
h,o,m,e,r,.,.,.,.,.,.,.,.,.,.,.,english
t,a,l,k,s,.,.,.,.,.,.,.,.,.,.,.,english
a,c,u,t,e,.,.,.,.,.,.,.,.,.,.,.,english
c,i,g,a,r,e,t,t,e,.,.,.,.,.,.,.,english
m,o,t,o,r,.,.,.,.,.,.,.,.,.,.,.,english
e,m,b,a,r,r,a,s,s,e,d,.,.,.,.,.,english
j,a,n,e,t,.,.,.,.,.,.,.,.,.,.,.,english
v,o,l,u,n,t,e,e,r,.,.,.,.,.,.,.,english
o,f,f,s,p,r,i,n,g,.,.,.,.,.,.,.,english
n,e,t,w,o,r,k,.,.,.,.,.,.,.,.,.,english
r,e,a,c,h,e,s,.,.,.,.,.,.,.,.,.,english
i,n,d,i,s,p,e,n,s,a,b,l,e,.,.,.,english
p,l,a,n,e,.,.,.,.,.,.,.,.,.,.,.,english
r,e,a,c,t,i,o,n,.,.,.,.,.,.,.,.,english
r,e,g,i,m,e,n,t,s,.,.,.,.,.,.,.,english
g,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,u,m,s,.,.,.,.,.,.,.,.,.,.,.,.,english
p,a,r,t,i,a,l,l,y,.,.,.,.,.,.,.,english
p,r,e,j,u,d,i,c,e,s,.,.,.,.,.,.,english
p,r,o,u,d,l,y,.,.,.,.,.,.,.,.,.,english
b,a,g,g,a,g,e,.,.,.,.,.,.,.,.,.,english
t,e,r,r,a,c,e,.,.,.,.,.,.,.,.,.,english
d,e,a,f,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,l,u,s,i,o,n,.,.,.,.,.,.,.,.,english
g,r,i,p,.,.,.,.,.,.,.,.,.,.,.,.,english
j,u,i,c,e,.,.,.,.,.,.,.,.,.,.,.,english
i,s,a,b,e,l,.,.,.,.,.,.,.,.,.,.,english
r,e,s,i,g,n,e,d,.,.,.,.,.,.,.,.,english
h,u,m,i,l,i,t,y,.,.,.,.,.,.,.,.,english
b,e,n,j,a,m,i,n,.,.,.,.,.,.,.,.,english
b,l,a,s,t,.,.,.,.,.,.,.,.,.,.,.,english
m,i,n,i,s,t,r,y,.,.,.,.,.,.,.,.,english
s,e,x,u,a,l,.,.,.,.,.,.,.,.,.,.,english
n,i,l,e,.,.,.,.,.,.,.,.,.,.,.,.,english
d,i,a,m,e,t,e,r,.,.,.,.,.,.,.,.,english
t,r,o,o,p,.,.,.,.,.,.,.,.,.,.,.,english
o,n,w,a,r,d,.,.,.,.,.,.,.,.,.,.,english
c,r,o,w,d,s,.,.,.,.,.,.,.,.,.,.,english
m,a,r,r,y,i,n,g,.,.,.,.,.,.,.,.,english
t,i,g,h,t,l,y,.,.,.,.,.,.,.,.,.,english
s,u,l,l,e,n,.,.,.,.,.,.,.,.,.,.,english
b,r,u,t,a,l,.,.,.,.,.,.,.,.,.,.,english
a,x,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,o,l,m,e,s,.,.,.,.,.,.,.,.,.,.,english
p,e,n,a,l,t,y,.,.,.,.,.,.,.,.,.,english
t,o,p,s,.,.,.,.,.,.,.,.,.,.,.,.,english
d,i,a,m,o,n,d,.,.,.,.,.,.,.,.,.,english
b,o,a,r,d,s,.,.,.,.,.,.,.,.,.,.,english
c,o,r,r,i,d,o,r,.,.,.,.,.,.,.,.,english
e,n,d,o,w,e,d,.,.,.,.,.,.,.,.,.,english
s,t,r,e,n,g,t,h,e,n,e,d,.,.,.,.,english
c,e,l,l,s,.,.,.,.,.,.,.,.,.,.,.,english
p,r,o,p,o,r,t,i,o,n,s,.,.,.,.,.,english
a,l,t,e,r,n,a,t,e,.,.,.,.,.,.,.,english
e,c,h,o,.,.,.,.,.,.,.,.,.,.,.,.,english
r,e,s,t,r,a,i,n,t,.,.,.,.,.,.,.,english
t,r,i,a,l,s,.,.,.,.,.,.,.,.,.,.,english
r,e,a,d,s,.,.,.,.,.,.,.,.,.,.,.,english
i,d,e,n,t,i,t,y,.,.,.,.,.,.,.,.,english
h,e,a,d,e,d,.,.,.,.,.,.,.,.,.,.,english
s,o,f,t,e,n,e,d,.,.,.,.,.,.,.,.,english
q,u,i,v,e,r,i,n,g,.,.,.,.,.,.,.,english
s,t,a,g,e,s,.,.,.,.,.,.,.,.,.,.,english
s,w,a,y,.,.,.,.,.,.,.,.,.,.,.,.,english
p,o,e,t,i,c,a,l,.,.,.,.,.,.,.,.,english
o,b,j,e,c,t,e,d,.,.,.,.,.,.,.,.,english
s,c,r,e,e,n,.,.,.,.,.,.,.,.,.,.,english
p,r,o,f,e,s,s,e,d,.,.,.,.,.,.,.,english
d,i,r,t,.,.,.,.,.,.,.,.,.,.,.,.,english
a,s,c,e,r,t,a,i,n,e,d,.,.,.,.,.,english
e,r,a,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,d,e,r,.,.,.,.,.,.,.,.,.,.,.,english
a,m,b,a,s,s,a,d,o,r,.,.,.,.,.,.,english
c,o,n,s,t,i,t,u,t,e,d,.,.,.,.,.,english
b,r,e,e,d,.,.,.,.,.,.,.,.,.,.,.,english
i,n,t,e,r,f,e,r,e,n,c,e,.,.,.,.,english
e,y,e,b,r,o,w,s,.,.,.,.,.,.,.,.,english
s,h,a,p,e,s,.,.,.,.,.,.,.,.,.,.,english
a,f,a,r,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,n,s,i,s,t,.,.,.,.,.,.,.,.,.,english
a,c,c,e,p,t,a,n,c,e,.,.,.,.,.,.,english
d,i,s,p,l,a,y,s,.,.,.,.,.,.,.,.,english
f,l,a,s,h,i,n,g,.,.,.,.,.,.,.,.,english
h,u,n,t,e,d,.,.,.,.,.,.,.,.,.,.,english
b,e,a,u,t,i,e,s,.,.,.,.,.,.,.,.,english
l,a,z,y,.,.,.,.,.,.,.,.,.,.,.,.,english
s,h,r,e,w,d,.,.,.,.,.,.,.,.,.,.,english
e,x,t,r,a,v,a,g,a,n,t,.,.,.,.,.,english
m,o,m,e,n,t,a,r,y,.,.,.,.,.,.,.,english
c,o,r,d,i,a,l,.,.,.,.,.,.,.,.,.,english
e,n,g,i,n,e,e,r,.,.,.,.,.,.,.,.,english
r,a,p,i,d,i,t,y,.,.,.,.,.,.,.,.,english
n,o,v,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,a,l,t,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,t,e,r,n,a,t,i,v,e,.,.,.,.,.,english
d,e,v,i,l,s,.,.,.,.,.,.,.,.,.,.,english
s,t,a,m,p,.,.,.,.,.,.,.,.,.,.,.,english
c,o,m,p,a,c,t,.,.,.,.,.,.,.,.,.,english
w,h,i,t,e,s,.,.,.,.,.,.,.,.,.,.,english
b,r,e,a,t,h,l,e,s,s,.,.,.,.,.,.,english
e,n,c,o,d,i,n,g,.,.,.,.,.,.,.,.,english
d,r,i,f,t,.,.,.,.,.,.,.,.,.,.,.,english
d,i,s,a,p,p,e,a,r,.,.,.,.,.,.,.,english
r,o,a,r,e,d,.,.,.,.,.,.,.,.,.,.,english
r,e,v,i,v,e,d,.,.,.,.,.,.,.,.,.,english
c,o,u,n,t,e,r,.,.,.,.,.,.,.,.,.,english
v,e,n,u,s,.,.,.,.,.,.,.,.,.,.,.,english
i,m,a,g,i,n,a,r,y,.,.,.,.,.,.,.,english
d,i,m,i,n,i,s,h,e,d,.,.,.,.,.,.,english
h,o,n,o,u,r,e,d,.,.,.,.,.,.,.,.,english
d,e,s,p,a,t,c,h,e,d,.,.,.,.,.,.,english
o,b,j,e,c,t,i,o,n,s,.,.,.,.,.,.,english
r,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
c,l,i,m,b,i,n,g,.,.,.,.,.,.,.,.,english
a,t,t,r,a,c,t,.,.,.,.,.,.,.,.,.,english
a,s,t,o,n,i,s,h,i,n,g,.,.,.,.,.,english
c,o,m,p,e,t,i,t,i,o,n,.,.,.,.,.,english
s,u,g,g,e,s,t,i,o,n,s,.,.,.,.,.,english
i,n,k,.,.,.,.,.,.,.,.,.,.,.,.,.,english
o,f,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
c,r,y,s,t,a,l,.,.,.,.,.,.,.,.,.,english
s,h,o,w,e,r,.,.,.,.,.,.,.,.,.,.,english
d,i,s,e,a,s,e,s,.,.,.,.,.,.,.,.,english
f,e,r,d,i,n,a,n,d,.,.,.,.,.,.,.,english
o,b,e,d,i,e,n,t,.,.,.,.,.,.,.,.,english
d,r,a,u,g,h,t,.,.,.,.,.,.,.,.,.,english
w,o,n,d,r,o,u,s,.,.,.,.,.,.,.,.,english
a,w,a,i,t,.,.,.,.,.,.,.,.,.,.,.,english
a,r,m,o,u,r,.,.,.,.,.,.,.,.,.,.,english
m,a,s,s,i,v,e,.,.,.,.,.,.,.,.,.,english
b,o,t,t,l,e,s,.,.,.,.,.,.,.,.,.,english
k,i,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
c,e,l,l,a,r,.,.,.,.,.,.,.,.,.,.,english
f,a,l,s,e,h,o,o,d,.,.,.,.,.,.,.,english
p,i,l,l,a,r,s,.,.,.,.,.,.,.,.,.,english
e,d,g,a,r,.,.,.,.,.,.,.,.,.,.,.,english
p,h,i,l,o,s,o,p,h,i,c,a,l,.,.,.,english
m,a,r,t,h,a,.,.,.,.,.,.,.,.,.,.,english
w,o,r,l,d,s,.,.,.,.,.,.,.,.,.,.,english
m,e,m,o,r,a,b,l,e,.,.,.,.,.,.,.,english
j,a,c,q,u,e,s,.,.,.,.,.,.,.,.,.,english
d,e,t,e,c,t,e,d,.,.,.,.,.,.,.,.,english
s,t,e,a,l,i,n,g,.,.,.,.,.,.,.,.,english
n,o,i,s,y,.,.,.,.,.,.,.,.,.,.,.,english
h,e,n,c,e,f,o,r,t,h,.,.,.,.,.,.,english
c,i,c,e,r,o,.,.,.,.,.,.,.,.,.,.,english
l,a,d,e,n,.,.,.,.,.,.,.,.,.,.,.,english
f,r,o,s,t,.,.,.,.,.,.,.,.,.,.,.,english
d,e,v,i,c,e,.,.,.,.,.,.,.,.,.,.,english
g,l,a,r,e,.,.,.,.,.,.,.,.,.,.,.,english
t,o,u,c,h,e,s,.,.,.,.,.,.,.,.,.,english
s,e,n,a,t,e,.,.,.,.,.,.,.,.,.,.,english
l,a,s,t,i,n,g,.,.,.,.,.,.,.,.,.,english
c,o,m,m,u,n,i,o,n,.,.,.,.,.,.,.,english
t,r,a,n,s,p,o,r,t,.,.,.,.,.,.,.,english
c,o,n,s,t,a,n,t,i,n,o,p,l,e,.,.,english
c,o,f,f,i,n,.,.,.,.,.,.,.,.,.,.,english
e,v,e,n,t,u,a,l,l,y,.,.,.,.,.,.,english
j,o,h,n,n,y,.,.,.,.,.,.,.,.,.,.,english
e,n,c,l,o,s,e,d,.,.,.,.,.,.,.,.,english
f,o,r,g,i,v,e,n,e,s,s,.,.,.,.,.,english
a,w,f,u,l,l,y,.,.,.,.,.,.,.,.,.,english
c,l,i,n,g,i,n,g,.,.,.,.,.,.,.,.,english
d,a,r,k,e,n,e,d,.,.,.,.,.,.,.,.,english
c,o,n,t,e,m,p,l,a,t,i,o,n,.,.,.,english
t,e,r,m,e,d,.,.,.,.,.,.,.,.,.,.,english
m,a,n,u,f,a,c,t,u,r,e,.,.,.,.,.,english
s,w,a,l,l,o,w,.,.,.,.,.,.,.,.,.,english
c,o,m,m,o,n,p,l,a,c,e,.,.,.,.,.,english
n,a,n,c,y,.,.,.,.,.,.,.,.,.,.,.,english
r,e,s,e,m,b,l,e,d,.,.,.,.,.,.,.,english
l,a,b,o,r,s,.,.,.,.,.,.,.,.,.,.,english
c,o,n,t,r,a,c,t,e,d,.,.,.,.,.,.,english
i,n,s,c,r,i,p,t,i,o,n,.,.,.,.,.,english
c,o,m,f,o,r,t,a,b,l,y,.,.,.,.,.,english
i,n,d,u,l,g,e,.,.,.,.,.,.,.,.,.,english
i,n,d,u,l,g,e,n,c,e,.,.,.,.,.,.,english
b,r,a,v,e,l,y,.,.,.,.,.,.,.,.,.,english
k,n,e,e,l,i,n,g,.,.,.,.,.,.,.,.,english
y,e,a,.,.,.,.,.,.,.,.,.,.,.,.,.,english
k,e,e,n,l,y,.,.,.,.,.,.,.,.,.,.,english
e,x,h,i,b,i,t,i,o,n,.,.,.,.,.,.,english
a,g,r,i,c,u,l,t,u,r,a,l,.,.,.,.,english
e,n,l,i,g,h,t,e,n,e,d,.,.,.,.,.,english
q,u,e,s,t,.,.,.,.,.,.,.,.,.,.,.,english
c,o,m,p,l,i,m,e,n,t,s,.,.,.,.,.,english
c,r,e,s,t,.,.,.,.,.,.,.,.,.,.,.,english
e,x,t,e,n,s,i,o,n,.,.,.,.,.,.,.,english
u,n,e,a,s,i,n,e,s,s,.,.,.,.,.,.,english
c,o,n,s,t,i,t,u,t,e,.,.,.,.,.,.,english
i,n,f,l,i,c,t,e,d,.,.,.,.,.,.,.,english
l,a,k,e,s,.,.,.,.,.,.,.,.,.,.,.,english
s,w,i,n,g,.,.,.,.,.,.,.,.,.,.,.,english
m,e,a,d,o,w,.,.,.,.,.,.,.,.,.,.,english
n,o,b,l,e,s,t,.,.,.,.,.,.,.,.,.,english
d,o,w,n,l,o,a,d,i,n,g,.,.,.,.,.,english
c,o,m,p,l,e,x,.,.,.,.,.,.,.,.,.,english
c,o,n,t,r,o,v,e,r,s,y,.,.,.,.,.,english
f,r,e,e,d,.,.,.,.,.,.,.,.,.,.,.,english
r,e,s,i,g,n,a,t,i,o,n,.,.,.,.,.,english
t,e,m,p,e,s,t,.,.,.,.,.,.,.,.,.,english
g,u,i,d,a,n,c,e,.,.,.,.,.,.,.,.,english
p,r,o,s,p,e,c,t,s,.,.,.,.,.,.,.,english
h,u,m,b,l,y,.,.,.,.,.,.,.,.,.,.,english
l,i,n,e,d,.,.,.,.,.,.,.,.,.,.,.,english
s,e,r,e,n,e,.,.,.,.,.,.,.,.,.,.,english
s,h,r,u,g,g,e,d,.,.,.,.,.,.,.,.,english
h,o,n,o,u,r,s,.,.,.,.,.,.,.,.,.,english
r,o,u,g,h,l,y,.,.,.,.,.,.,.,.,.,english
c,h,e,c,k,s,.,.,.,.,.,.,.,.,.,.,english
r,e,m,a,r,k,a,b,l,y,.,.,.,.,.,.,english
d,a,i,n,t,y,.,.,.,.,.,.,.,.,.,.,english
o,v,e,r,h,e,a,d,.,.,.,.,.,.,.,.,english
c,o,m,m,e,n,c,e,m,e,n,t,.,.,.,.,english
s,i,n,g,u,l,a,r,l,y,.,.,.,.,.,.,english
b,r,i,g,h,t,n,e,s,s,.,.,.,.,.,.,english
o,p,p,r,e,s,s,i,o,n,.,.,.,.,.,.,english
r,e,p,e,a,t,e,d,l,y,.,.,.,.,.,.,english
c,o,n,s,p,i,r,a,c,y,.,.,.,.,.,.,english
r,e,s,t,r,a,i,n,.,.,.,.,.,.,.,.,english
s,p,l,e,n,d,o,r,.,.,.,.,.,.,.,.,english
p,r,e,s,e,r,v,a,t,i,o,n,.,.,.,.,english
p,u,b,.,.,.,.,.,.,.,.,.,.,.,.,.,english
p,e,p,p,e,r,.,.,.,.,.,.,.,.,.,.,english
b,a,s,i,n,.,.,.,.,.,.,.,.,.,.,.,english
c,r,e,e,p,i,n,g,.,.,.,.,.,.,.,.,english
